id_mature	miRBase_mature_miRNA_ID	id_hairpin	miRBase_precursor_miRNA_ID	Type	norm_mean_MDCK	norm_mean_MDCK-Ras	Fold_Change	Log2_Fold_Change	p_value	p_adjusted_value	more	sig	bin	class
cfa-miR-126	MIMAT0006730	cfa-mir-126	MI0008154	Canis	534.3259599	147.1834173	0.275456235	-1.860104975	0.000245719	0.000878145	0	1	01	2
cfa-miR-1271	MIMAT0006685	cfa-mir-1271	MI0008095	Canis	58.19923271	70.09089945	1.204326865	0.268227005	0.803289903	0.862646299	1	0	10	1
cfa-miR-128	MIMAT0006633	cfa-mir-128-1	MI0008032	Canis	974.8136397	680.6853403	0.698272277	-0.518138398	0.28578882	0.426725772	0	0	00	0
cfa-miR-128	MIMAT0006633	cfa-mir-128-2	MI0008057	Canis	974.8136397	680.6853403	0.698272277	-0.518138398	0.28578882	0.426725772	0	0	00	0
cfa-miR-129	MIMAT0006623	cfa-mir-129-1	MI0008019	Canis	2.700568508	528.0511412	195.5333255	7.611270702	1.01E-20	2.45E-19	1	1	11	3
cfa-miR-129	MIMAT0006623	cfa-mir-129-2	MI0008030	Canis	2.700568508	528.0511412	195.5333255	7.611270702	1.01E-20	2.45E-19	1	1	11	3
cfa-miR-1301	MIMAT0034337	cfa-mir-1301	MI0027930	Canis	54.57935306	22.86830497	0.418991866	-1.255005859	0.055482365	0.11242773	0	0	00	0
cfa-miR-1306	MIMAT0006661	cfa-mir-1306	MI0008066	Canis	107.7390574	66.30322149	0.615405621	-0.700390475	0.29595401	0.433418535	0	0	00	0
cfa-miR-1307	MIMAT0006665	cfa-mir-1307	MI0008071	Canis	1034.05019	260.87088	0.252280675	-1.986898395	0.005048524	0.01279742	0	1	01	2
cfa-miR-130a	MIMAT0006631	cfa-mir-130a	MI0008029	Canis	2044.472997	1121.041793	0.548328002	-0.866888944	0.055698141	0.11242773	0	0	00	0
cfa-miR-130b	MIMAT0006659	cfa-mir-130b	MI0008064	Canis	982.780661	1092.969087	1.112119041	0.153311223	0.563344538	0.701766339	1	0	10	1
cfa-miR-132	MIMAT0006732	cfa-mir-132	MI0008156	Canis	153.0386819	6352.634782	41.5099941	5.375386822	0.0000317	0.000141003	1	1	11	3
cfa-miR-133c	MIMAT0009833	cfa-mir-133a	MI0010326	Canis	0.903056436	264.7593844	293.1814379	8.195649955	5.38E-20	1.07E-18	1	1	11	3
cfa-miR-133c	MIMAT0009833	cfa-mir-133c	MI0010325	Canis	0.903056436	264.7593844	293.1814379	8.195649955	5.38E-20	1.07E-18	1	1	11	3
cfa-miR-134	MIMAT0009883	cfa-mir-134	MI0010382	Canis	8.237835226	199.8796015	24.26360762	4.600722167	6.54E-13	6.79E-12	1	1	11	3
cfa-miR-135b	MIMAT0009839	cfa-mir-135b	MI0010334	Canis	3731.869658	4957.839975	1.328513702	0.409813107	0.322464025	0.459458545	1	0	10	1
cfa-miR-138a	MIMAT0006654	cfa-mir-138a	MI0008056	Canis	88.57367213	46.25855652	0.522260796	-0.937157684	0.23872142	0.365568755	0	0	00	0
cfa-miR-140	MIMAT0006689	cfa-mir-140	MI0008100	Canis	7637.797022	8627.683379	1.129603648	0.175816653	0.828216396	0.885054776	1	0	10	1
cfa-miR-141	MIMAT0009876	cfa-mir-141	MI0010374	Canis	106066.813	9766.69595	0.092080602	-3.44095893	1.65E-13	1.89E-12	0	1	01	2
cfa-miR-146a	MIMAT0006684	cfa-mir-146a	MI0008094	Canis	34.00695394	86.55523227	2.545221558	1.347791246	0.035108217	0.072891346	1	0	10	1
cfa-miR-146b	MIMAT0006667	cfa-mir-146b	MI0008073	Canis	790.3820034	478.5983582	0.605527904	-0.72373465	0.077327915	0.145328957	0	0	00	0
cfa-miR-147	MIMAT0009874	cfa-mir-147	MI0010371	Canis	488.1300441	69.7567721	0.142906123	-2.806860363	0.0000039	0.0000198	0	1	01	2
cfa-miR-148a	MIMAT0006622	cfa-mir-148a	MI0008018	Canis	415571.4371	400806.4457	0.96447063	-0.052190789	0.66338156	0.777511721	0	0	00	0
cfa-miR-148b	MIMAT0006663	cfa-mir-148b	MI0008069	Canis	65909.3578	47423.97328	0.719533233	-0.474866773	0.174317624	0.290085817	0	0	00	0
cfa-miR-151	MIMAT0006615	cfa-mir-151	MI0008011	Canis	2471.15944	3265.295264	1.32136163	0.402025357	0.498933029	0.655225304	1	0	10	1
cfa-miR-152	MIMAT0006738	cfa-mir-152	MI0008162	Canis	151.2485551	14986.82053	99.08736333	6.630629176	0.00000784	0.0000371	1	1	11	3
cfa-miR-153	MIMAT0009840	cfa-mir-153	MI0010335	Canis	168.2736483	51.01963708	0.303194455	-1.721684726	0.003492909	0.009174145	0	1	01	2
cfa-miR-155	MIMAT0006671	cfa-mir-155	MI0008078	Canis	2897.273472	7994.325585	2.759258199	1.464280464	0.001049835	0.003092758	1	1	11	3
cfa-miR-15a	MIMAT0006647	cfa-mir-15a	MI0008048	Canis	4358.845808	4818.085649	1.105358129	0.14451387	0.593352588	0.723753549	1	0	10	1
cfa-miR-15b	MIMAT0006676	cfa-mir-15b	MI0008083	Canis	3499.961378	3544.87797	1.012833454	0.018396962	0.683663668	0.784414103	1	0	10	1
cfa-miR-16	MIMAT0006648	cfa-mir-16-1	MI0008049	Canis	11064.26429	9712.938873	0.877865768	-0.187927736	0.702871431	0.793916954	0	0	00	0
cfa-miR-16	MIMAT0006648	cfa-mir-16-2	MI0008084	Canis	11092.13854	9683.513656	0.873006915	-0.195935013	0.691552754	0.789311521	0	0	00	0
cfa-miR-181a	MIMAT0006707	cfa-mir-181a-1	MI0008126	Canis	1174.29569	5906.967393	5.030221469	2.33062192	0.000382068	0.001261982	1	1	11	3
cfa-miR-181a	MIMAT0006707	cfa-mir-181a-2	MI0008152	Canis	1174.29569	5906.967393	5.030221469	2.33062192	0.000382068	0.001261982	1	1	11	3
cfa-miR-181b	MIMAT0006708	cfa-mir-181b-1	MI0008127	Canis	548.6307037	2667.705449	4.862479316	2.281692113	0.000000317	0.00000173	1	1	11	3
cfa-miR-181b	MIMAT0006708	cfa-mir-181b-2	MI0008153	Canis	583.6585386	3035.550578	5.200901515	2.378761719	9.39E-08	0.000000569	1	1	11	3
cfa-miR-181c	MIMAT0006635	cfa-mir-181c	MI0008034	Canis	582.4550998	1102.651434	1.89310976	0.920758059	0.023513601	0.05125965	1	0	10	1
cfa-miR-181d	MIMAT0006636	cfa-mir-181d	MI0008035	Canis	1683.661974	3601.787892	2.139258323	1.097110704	0.006763142	0.016946722	1	1	11	3
cfa-miR-182	MIMAT0009841	cfa-mir-182	MI0010336	Canis	90561.02648	41278.41118	0.455807678	-1.133502869	0.007367456	0.018251198	0	1	01	2
cfa-miR-1838	MIMAT0006644	cfa-mir-1838	MI0008044	Canis	109.32028	86.62456691	0.792392472	-0.335712921	0.519304951	0.664412827	0	0	00	0
cfa-miR-183	MIMAT0006621	cfa-mir-183	MI0008017	Canis	57406.77892	22470.0596	0.391418227	-1.353217157	0.001192132	0.00346513	0	1	01	2
cfa-miR-1841	MIMAT0006686	cfa-mir-1841	MI0008096	Canis	94.90864495	56.49735003	0.595281389	-0.748356304	0.313225735	0.45220669	0	0	00	0
cfa-miR-1842	MIMAT0006701	cfa-mir-1842	MI0008116	Canis	89.07940659	65.95390604	0.740394537	-0.433633844	0.600839361	0.723753549	0	0	00	0
cfa-miR-1844	MIMAT0006740	cfa-mir-1844	MI0008164	Canis	522.1524009	140.1101024	0.268331817	-1.897909966	0.000105176	0.000449576	0	1	01	2
cfa-miR-184	MIMAT0009842	cfa-mir-184	MI0010337	Canis	1021.558229	693.1515784	0.678523807	-0.55952866	0.546752723	0.688971639	0	0	00	0
cfa-miR-185	MIMAT0006660	cfa-mir-185	MI0008065	Canis	2135.788723	2291.251642	1.072789465	0.101366975	0.894688663	0.919291154	1	0	10	1
cfa-miR-186	MIMAT0006694	cfa-mir-186	MI0008108	Canis	13205.01225	11567.46013	0.87599011	-0.191013514	0.7258745	0.807350209	0	0	00	0
cfa-miR-188	MIMAT0009880	cfa-mir-188	MI0010379	Canis	52.32890414	76.81413245	1.467910206	0.553763719	0.318615758	0.456962073	1	0	10	1
cfa-miR-18a	MIMAT0009832	cfa-mir-18a	MI0010324	Canis	4633.45374	2712.063851	0.585322311	-0.772696823	0.239799688	0.365568755	0	0	00	0
cfa-miR-190a	MIMAT0009872	cfa-mir-190a	MI0010369	Canis	625.1354908	430.5364478	0.688709015	-0.538033534	0.485488553	0.641433361	0	0	00	0
cfa-miR-191	MIMAT0006638	cfa-mir-191	MI0008037	Canis	27548.22895	27349.93313	0.992801867	-0.010422267	1	1	0	0	00	0
cfa-miR-192	MIMAT0006632	cfa-mir-192	MI0008031	Canis	80316.71647	4679.230059	0.058259728	-4.101357223	7.14E-19	1.3E-17	0	1	01	2
cfa-miR-193a	MIMAT0006735	cfa-mir-193a	MI0008159	Canis	469.0957579	742.9376628	1.583765469	0.66335871	0.238505221	0.365568755	1	0	10	1
cfa-miR-194	MIMAT0006681	cfa-mir-194	MI0008091	Canis	7726.876588	437.5253522	0.056623831	-4.142446835	1.29E-18	2.17E-17	0	1	01	2
cfa-miR-196a	MIMAT0006662	cfa-mir-196a-1	MI0010360	Canis	6039.313459	5543.098731	0.917835904	-0.123691851	0.600914644	0.723753549	0	0	00	0
cfa-miR-196a	MIMAT0006662	cfa-mir-196a-2	MI0008068	Canis	6270.301708	6018.584114	0.959855585	-0.059110733	0.706831437	0.794274501	0	0	00	0
cfa-miR-196b	MIMAT0006620	cfa-mir-196b	MI0008016	Canis	8363.676275	11551.71565	1.381176802	0.465898008	0.429496305	0.581554003	1	0	10	1
cfa-miR-197	MIMAT0006698	cfa-mir-197	MI0008112	Canis	329.9198132	706.755072	2.142202571	1.099094911	0.011499263	0.026668504	1	1	11	3
cfa-miR-19a	MIMAT0006650	cfa-mir-19a	MI0008051	Canis	25662.09361	21251.14083	0.828114072	-0.272098584	0.735240645	0.813616551	0	0	00	0
cfa-miR-19b	MIMAT0006652	cfa-mir-19b-1	MI0008054	Canis	6101.792615	3542.284607	0.580531793	-0.784553016	0.104071041	0.184451113	0	0	00	0
cfa-miR-19b	MIMAT0006652	cfa-mir-19b-2	MI0008174	Canis	6101.792615	3542.284607	0.580531793	-0.784553016	0.104071041	0.184451113	0	0	00	0
cfa-miR-1	MIMAT0006656	cfa-mir-1-1	MI0008060	Canis	1.964529852	2058.190292	1047.675753	10.03297657	7.04E-54	5.11E-52	1	1	11	3
cfa-miR-1	MIMAT0006656	cfa-mir-1-2	MI0008118	Canis	1.964529852	2058.190292	1047.675753	10.03297657	7.04E-54	5.11E-52	1	1	11	3
cfa-miR-200a	MIMAT0009865	cfa-mir-200a	MI0010362	Canis	1413.207748	135.8912458	0.096158011	-3.37844914	2.31E-08	0.000000158	0	1	01	2
cfa-miR-200b	MIMAT0009864	cfa-mir-200b	MI0010361	Canis	1654.446003	143.8874044	0.086970142	-3.523335994	0.000000255	0.00000143	0	1	01	2
cfa-miR-200c	MIMAT0006664	cfa-mir-200c	MI0008070	Canis	79635.93799	6198.304926	0.077833012	-3.683474	2.26E-15	3.08E-14	0	1	01	2
cfa-miR-203	MIMAT0009866	cfa-mir-203	MI0010363	Canis	4756.754198	699.5840353	0.147071723	-2.765408205	1.61E-09	1.35E-08	0	1	01	2
cfa-miR-204	MIMAT0006598	cfa-mir-204	MI0007993	Canis	715.4730413	284.7719682	0.398019145	-1.329090268	0.00148261	0.004197519	0	1	01	2
cfa-miR-205	MIMAT0009845	cfa-mir-205	MI0010340	Canis	142.9529462	3630.724236	25.39803713	4.666645099	0.000893586	0.002668518	1	1	11	3
cfa-miR-20a	MIMAT0006651	cfa-mir-20a	MI0008052	Canis	46281.47414	33626.81091	0.726571734	-0.460822854	0.349366338	0.494557544	0	0	00	0
cfa-miR-20b	MIMAT0009830	cfa-mir-20b	MI0010322	Canis	71.59514731	76.6100535	1.070045337	0.097671923	0.797742913	0.862646299	1	0	10	1
cfa-miR-218	MIMAT0006672	cfa-mir-218-1	MI0008079	Canis	946.1025319	3.560842338	0.003763696	-8.053634172	7.43E-23	2.31E-21	0	1	01	2
cfa-miR-218	MIMAT0006672	cfa-mir-218-2	MI0008097	Canis	903.0190389	3.560842338	0.003943264	-7.986394036	6.78E-23	2.31E-21	0	1	01	2
cfa-miR-219-5p	MIMAT0006611	cfa-mir-219-1	MI0008007	Canis	56.96982129	46.8878343	0.823029338	-0.280984237	0.862744364	0.904222458	0	0	00	0
cfa-miR-21	MIMAT0006741	cfa-mir-21	MI0008165	Canis	4748000.903	8882925.251	1.870876909	0.903714642	0.019931598	0.043889782	1	1	11	3
cfa-miR-222	MIMAT0009851	cfa-mir-222	MI0010346	Canis	4561.072899	21496.5673	4.713050585	2.236661166	0.000000213	0.00000122	1	1	11	3
cfa-miR-224	MIMAT0006744	cfa-mir-224	MI0008168	Canis	3.893921766	4675.223848	1200.646579	10.22959583	3.34E-60	7.28E-58	1	1	11	3
cfa-miR-22	MIMAT0006733	cfa-mir-22	MI0008157	Canis	331.5681865	673.3355759	2.030760499	1.022020103	0.218216599	0.349788372	1	0	10	1
cfa-miR-23a	MIMAT0006640	cfa-mir-23a	MI0008039	Canis	1931.352997	2282.914297	1.182028506	0.241264828	0.515577274	0.664412827	1	0	10	1
cfa-miR-23b	MIMAT0006612	cfa-mir-23b	MI0008008	Canis	672.7931272	650.0416811	0.966183593	-0.04963074	1	1	0	0	00	0
cfa-miR-24	MIMAT0006614	cfa-mir-24-1	MI0008010	Canis	88971.5176	311380.1117	3.499772962	1.807261334	0.0000154	0.00007	1	1	11	3
cfa-miR-24	MIMAT0006614	cfa-mir-24-2	MI0008041	Canis	88971.5176	311380.1117	3.499772962	1.807261334	0.0000154	0.00007	1	1	11	3
cfa-miR-25	MIMAT0006697	cfa-mir-25	MI0008111	Canis	11251.06053	5239.07172	0.465651367	-1.10267788	0.011690105	0.026825715	0	1	01	2
cfa-miR-26a	MIMAT0006595	cfa-mir-26a-1	MI0008058	Canis	15734.65396	5654.808047	0.3593856	-1.476395493	0.000278356	0.000953085	0	1	01	2
cfa-miR-26a	MIMAT0006595	cfa-mir-26a-2	MI0007990	Canis	15736.6297	5657.90757	0.359537441	-1.475786079	0.000279805	0.000953085	0	1	01	2
cfa-miR-26b	MIMAT0006678	cfa-mir-26b	MI0008088	Canis	2358.483066	2127.842324	0.902208014	-0.148467993	0.772130515	0.845851519	0	0	00	0
cfa-miR-27a	MIMAT0006641	cfa-mir-27a	MI0008040	Canis	22388.90441	52885.18796	2.362115938	1.240079777	0.002225334	0.006219524	1	1	11	3
cfa-miR-27b	MIMAT0006613	cfa-mir-27b	MI0008009	Canis	118883.3461	379466.4297	3.191922519	1.674425632	0.000242009	0.000878145	1	1	11	3
cfa-miR-28	MIMAT0006675	cfa-mir-28	MI0008082	Canis	6616.870568	7584.718689	1.146269768	0.196946614	0.611775946	0.729950843	1	0	10	1
cfa-miR-299	MIMAT0009885	cfa-mir-299	MI0010384	Canis	5.760557611	136.1304675	23.63147402	4.562637715	0.00019007	0.000739914	1	1	11	3
cfa-miR-29a	MIMAT0006626	cfa-mir-29a	MI0008022	Canis	18664.60386	52022.52899	2.787229206	1.478831647	0.000260809	0.00091704	1	1	11	3
cfa-miR-29b	MIMAT0006625	cfa-mir-29b-1	MI0008021	Canis	8159.305682	24630.15979	3.018658786	1.593907691	0.000157281	0.000623406	1	1	11	3
cfa-miR-29b	MIMAT0006625	cfa-mir-29b-2	MI0008121	Canis	8159.305682	24630.15979	3.018658786	1.593907691	0.000157281	0.000623406	1	1	11	3
cfa-miR-29c	MIMAT0006705	cfa-mir-29c-1	MI0008122	Canis	1091.095962	1191.232522	1.091776126	0.126677055	0.881062789	0.914627085	1	0	10	1
cfa-miR-29c	MIMAT0006705	cfa-mir-29c-2	MI0015960	Canis	1091.095962	1191.232522	1.091776126	0.126677055	0.881062789	0.914627085	1	0	10	1
cfa-miR-301a	MIMAT0009853	cfa-mir-301a	MI0010348	Canis	1435.731529	261.6816262	0.18226362	-2.455901466	3.58E-08	0.000000236	0	1	01	2
cfa-miR-301b	MIMAT0009854	cfa-mir-301b	MI0010349	Canis	106.4097076	51.28462277	0.481954362	-1.053031556	0.062206995	0.123153612	0	0	00	0
cfa-miR-30a	MIMAT0006604	cfa-mir-30a	MI0008000	Canis	194922.9316	98679.33492	0.506247952	-0.982083928	0.025925929	0.055958937	0	0	00	0
cfa-miR-30b	MIMAT0006617	cfa-mir-30b	MI0008013	Canis	2951.993904	5301.395565	1.795869415	0.84468245	0.032004463	0.068111148	1	0	10	1
cfa-miR-30c	MIMAT0006605	cfa-mir-30c-1	MI0008024	Canis	8496.59751	9113.516869	1.072607813	0.101122667	0.675070782	0.778699146	1	0	10	1
cfa-miR-30c	MIMAT0006605	cfa-mir-30c-2	MI0008001	Canis	8496.739932	9113.516869	1.072589833	0.101098484	0.675110728	0.778699146	1	0	10	1
cfa-miR-30d	MIMAT0006616	cfa-mir-30d	MI0008012	Canis	36585.47162	57109.54878	1.560989821	0.642461129	0.079314238	0.147782085	1	0	10	1
cfa-miR-30e	MIMAT0006627	cfa-mir-30e	MI0008023	Canis	15566.34817	21540.15757	1.383764344	0.468598272	0.311701157	0.45220669	1	0	10	1
cfa-miR-31	MIMAT0006599	cfa-mir-31	MI0007994	Canis	9864.558095	27518.80693	2.78966444	1.480091595	0.001304629	0.003742225	1	1	11	3
cfa-miR-320	MIMAT0006658	cfa-mir-320	MI0008063	Canis	5620.213022	7996.6153	1.422831353	0.508764671	0.37506619	0.524130958	1	0	10	1
cfa-miR-324	MIMAT0009896	cfa-mir-324	MI0010395	Canis	133.3845869	103.7229147	0.77762294	-0.362857315	0.672607655	0.778699146	0	0	00	0
cfa-miR-32	MIMAT0006597	cfa-mir-32	MI0007992	Canis	907.4059496	1422.933548	1.568133369	0.649048265	0.12352955	0.213725729	1	0	10	1
cfa-miR-330	MIMAT0009893	cfa-mir-330	MI0010392	Canis	214.6839383	39.64252884	0.184655308	-2.437093357	0.000126306	0.000529514	0	1	01	2
cfa-miR-331	MIMAT0009895	cfa-mir-331	MI0010394	Canis	480.3077223	413.3890845	0.860675491	-0.216458709	0.714654483	0.798947063	0	0	00	0
cfa-miR-339	MIMAT0011134	cfa-mir-339-1	MI0008115	Canis	559.5849133	359.8067829	0.642988712	-0.637134683	0.141041133	0.24021068	0	0	00	0
cfa-miR-340	MIMAT0009892	cfa-mir-340	MI0010391	Canis	7648.123149	15037.73635	1.966199557	0.975409754	0.011884841	0.026988493	1	1	11	3
cfa-miR-345	MIMAT0006710	cfa-mir-345	MI0008129	Canis	115.5132857	39.52798749	0.342194296	-1.547112382	0.010996223	0.025776093	0	1	01	2
cfa-miR-34c	MIMAT0006693	cfa-mir-34c	MI0008106	Canis	59.77728347	113.9028655	1.905454027	0.9301348	0.077331005	0.145328957	1	0	10	1
cfa-miR-361	MIMAT0006751	cfa-mir-361	MI0008177	Canis	850.3817688	942.6800006	1.108537407	0.148657454	0.800936873	0.862646299	1	0	10	1
cfa-miR-362	MIMAT0009886	cfa-mir-362	MI0010385	Canis	62.64773529	83.14770019	1.327225953	0.408414003	0.506081232	0.660632985	1	0	10	1
cfa-miR-365	MIMAT0001540	cfa-mir-365-1	MI0001657	Canis	1304.965027	3422.40421	2.622602246	1.39099902	0.000887214	0.002668518	1	1	11	3
cfa-miR-365	MIMAT0001540	cfa-mir-365-2	MI0001647	Canis	1304.965027	3422.40421	2.622602246	1.39099902	0.000887214	0.002668518	1	1	11	3
cfa-miR-374a	MIMAT0006753	cfa-mir-374a	MI0008179	Canis	2351.629353	3208.380484	1.364322349	0.448184551	0.192827622	0.318457739	1	0	10	1
cfa-miR-374b	MIMAT0006754	cfa-mir-374b	MI0008180	Canis	707.9206853	841.008457	1.187998139	0.248532577	0.435182989	0.585616615	1	0	10	1
cfa-miR-375	MIMAT0009871	cfa-mir-375	MI0010368	Canis	1996.852305	22.77071316	0.011403304	-6.454404343	2.39E-13	2.6E-12	0	1	01	2
cfa-miR-378	MIMAT0006683	cfa-mir-378	MI0008093	Canis	808371.4626	2383095.809	2.948020705	1.559746657	0.000211028	0.000807089	1	1	11	3
cfa-miR-379	MIMAT0006715	cfa-mir-379	MI0008134	Canis	97.85669087	4385.961597	44.82025253	5.486078872	6.66E-09	4.68E-08	1	1	11	3
cfa-miR-380	MIMAT0006717	cfa-mir-380	MI0008136	Canis	3.18828891	157.2497444	49.32104612	5.624131495	8.02E-16	1.17E-14	1	1	11	3
cfa-miR-381	MIMAT0009891	cfa-mir-381	MI0010390	Canis	97.56932714	6468.174703	66.29311581	6.050787157	2.23E-10	1.95E-09	1	1	11	3
cfa-miR-411	MIMAT0006716	cfa-mir-411	MI0008135	Canis	34.37589142	1341.697219	39.0301797	5.2865182	1.21E-10	1.1E-09	1	1	11	3
cfa-miR-423a	MIMAT0006742	cfa-mir-423a	MI0008166	Canis	30580.82638	36999.55179	1.209893785	0.274880401	0.787413463	0.858280675	1	0	10	1
cfa-miR-425	MIMAT0006639	cfa-mir-425	MI0008038	Canis	999.6964015	734.131448	0.734354397	-0.445451624	0.386181706	0.531501265	0	0	00	0
cfa-miR-429	MIMAT0001539	cfa-mir-429	MI0001644	Canis	10044.39297	1796.643844	0.178870326	-2.483014027	0.000000186	0.0000011	0	1	01	2
cfa-miR-450a	MIMAT0001548	cfa-mir-450a	MI0001655	Canis	266.2112265	149.1713567	0.560349609	-0.835600871	0.032180955	0.068111148	0	0	00	0
cfa-miR-450b	MIMAT0006748	cfa-mir-450b	MI0008172	Canis	395.4000981	184.3167206	0.46615244	-1.101126276	0.010212198	0.02419847	0	1	01	2
cfa-miR-454	MIMAT0009927	cfa-mir-454	MI0010426	Canis	265.1096805	42.9135351	0.161870872	-2.627084695	0.000000548	0.00000291	0	1	01	2
cfa-miR-455	MIMAT0006603	cfa-mir-455	MI0007999	Canis	5.282826134	233.4601538	44.19228418	5.465722597	5.25E-17	8.18E-16	1	1	11	3
cfa-miR-485	MIMAT0006725	cfa-mir-485	MI0008146	Canis	5.298100589	152.2250809	28.73201034	4.844587035	0.009781841	0.023693793	1	1	11	3
cfa-miR-486	MIMAT0011132	cfa-mir-486	MI0008027	Canis	140.5608406	24.39529962	0.173556871	-2.526519617	0.0000471	0.000205552	0	1	01	2
cfa-miR-494	MIMAT0009905	cfa-mir-494	MI0010404	Canis	4.829022519	207.9270253	43.05778746	5.428202283	1.89E-11	1.79E-10	1	1	11	3
cfa-miR-499	MIMAT0006655	cfa-mir-499	MI0008059	Canis	477.3136948	557.2968205	1.167569308	0.223508193	0.586640189	0.723753549	1	0	10	1
cfa-miR-500	MIMAT0006759	cfa-mir-500	MI0008185	Canis	69.33451056	42.68172145	0.615591299	-0.699955254	0.21457269	0.346495158	0	0	00	0
cfa-miR-502	MIMAT0006761	cfa-mir-502	MI0008187	Canis	100.3159053	65.50005213	0.652937856	-0.614982406	0.221586081	0.35004178	0	0	00	0
cfa-miR-503	MIMAT0006746	cfa-mir-503	MI0008170	Canis	1210.092603	323.6344153	0.267445991	-1.902680518	0.000134371	0.000552697	0	1	01	2
cfa-miR-532	MIMAT0006758	cfa-mir-532	MI0008184	Canis	888.6334011	1255.435007	1.412770447	0.498527069	0.229402745	0.357533236	1	0	10	1
cfa-miR-542	MIMAT0006747	cfa-mir-542	MI0008171	Canis	2504.790279	1517.701841	0.605919727	-0.722801419	0.090231479	0.166698835	0	0	00	0
cfa-miR-574	MIMAT0006673	cfa-mir-574	MI0008080	Canis	29.23269269	392.799185	13.43698267	3.748137306	3.07E-12	3.04E-11	1	1	11	3
cfa-miR-582	MIMAT0009916	cfa-mir-582	MI0010415	Canis	3.679405934	818.3311292	222.4084931	7.797068071	3.52E-23	1.53E-21	1	1	11	3
cfa-miR-590	MIMAT0006700	cfa-mir-590	MI0008114	Canis	1403.719696	1140.668786	0.812604389	-0.299374938	0.596289659	0.723753549	0	0	00	0
cfa-miR-628	MIMAT0009921	cfa-mir-628	MI0010420	Canis	64.44702848	57.34148283	0.889745954	-0.168534628	0.836620957	0.889674969	0	0	00	0
cfa-miR-652	MIMAT0006743	cfa-mir-652	MI0008167	Canis	151.544718	96.59164948	0.637380509	-0.649773193	0.2296085	0.357533236	0	0	00	0
